sp1,sp2,RY1,RY2,avgRY
1,2,0.004167904,1.13850585,0.571336877
1,3,0.007112204,0.960745579,0.483928892
1,4,0.519281008,1.645109303,1.082195156
1,5,0.0049556,0.912860577,0.458908088
1,7,0.449101255,1.322535211,0.885818233
1,8,0.883576608,0.178387101,0.530981854
1,9,0.204539282,1.504820215,0.854679749
1,10,0.043910128,1.143588532,0.59374933
1,11,0.191188274,0.42174846,0.306468367
1,12,0.047319098,1.172486772,0.609902935
1,13,0.566499546,0.354811292,0.460655419
1,14,0.143032727,1.266686621,0.704859674
1,16,0.3032724,0.736098783,0.519685591
1,17,0.007949608,1.044805882,0.526377745
1,18,0.163837282,0.887193554,0.525515418
1,19,1.280196682,0,0.640098341
1,20,0.043754802,0.978758992,0.511256897
1,21,0.08225441,0.918535684,0.500395047
1,23,0.262119124,0.401605652,0.331862388
1,24,0.589488265,0.092070664,0.340779465
2,3,0.739350695,0.113597609,0.426474152
2,7,0.704107217,0.06971831,0.386912763
2,14,1.249262747,0.168875871,0.709069309
2,15,1.151623151,0.102018565,0.626820858
2,17,0.808653223,0.309808744,0.559230983
2,18,0.835687821,0.330618893,0.583153357
2,19,1.509799572,0.021273186,0.765536379
2,21,1.123621233,0.187677232,0.655649233
2,22,0.931506814,0.131605184,0.531555999
2,23,0.942527132,0.052344252,0.497435692
3,5,0.898026283,0.022878711,0.460452497
3,7,0.919097983,0.058314801,0.488706392
3,10,0.829901339,0.347282609,0.588591974
3,9,0.636502626,0.227981405,0.432242015
3,11,0.857041557,0.321070062,0.58905581
3,15,0.65712663,0.063285181,0.360205906
3,16,0.984172352,0.043685921,0.513929137
3,17,0.113828498,0.733485671,0.423657085
3,18,1.013920635,0.069489685,0.54170516
3,19,0.980685442,0.012097096,0.496391269
3,20,0.946524999,0.03532254,0.490923769
3,21,0.779570274,0.121211378,0.450390826
3,22,0.619873938,0.082471883,0.35117291
3,23,1.119821422,0.008066795,0.563944109
3,24,1.258491802,0,0.629245901
4,7,1.147975652,0.110160966,0.629068309
4,8,0.68953781,0.135125451,0.41233163
4,9,0.965410812,0.86167956,0.913545186
4,10,0.06591186,0.693043478,0.379477669
4,11,0.124480116,1.852253189,0.988366653
4,14,0.720440713,0.423196648,0.57181868
4,15,0.787782168,1.38897893,1.088380549
4,16,0.663712318,0.30483065,0.484271484
4,17,0.027538517,0.875319917,0.451429217
4,18,0.703360813,0.371335505,0.537348159
4,19,1.011210861,0.2556913,0.633451081
4,20,1.042226078,0.336221914,0.689223996
4,21,0.619742037,0.502668202,0.561205119
4,22,0.348934079,0.602359588,0.475646833
4,23,0.975931053,0.102585414,0.539258234
4,24,1.643166245,0.034020485,0.838593365
5,7,0.299278846,0.98028169,0.639780268
5,11,0.071730769,0.879731971,0.47573137
5,12,0.035480769,1.113227513,0.574354141
5,15,0.171016484,0.936327854,0.553672169
5,16,0.15472028,0.491871113,0.323295696
5,17,0.028159341,0.891529545,0.459844443
5,18,0.088028846,0.560260586,0.324144716
5,19,0.776141827,0.160249639,0.468195733
5,21,0.027980769,0.923578865,0.475779817
5,22,0.059151786,0.827018943,0.443085364
5,23,0.788461538,0.318561336,0.553511437
5,24,0.887920673,0.103678883,0.495799778
7,8,1.491197183,0.132043014,0.811620098
7,9,0.358574524,1.21695009,0.787762307
7,10,0.006156942,1.085217391,0.545687166
7,12,0.076267606,1.31005291,0.693160258
7,13,0.272151088,1.607230049,0.939690568
7,14,0.477992958,1.011972463,0.744982711
7,15,0.59305835,1.060801111,0.826929731
7,16,0.2467723,0.896213077,0.571492689
7,17,0.021971831,0.829608766,0.425790299
7,18,0.385083227,0.690553746,0.537818486
7,19,1.760915493,0.109050894,0.934983193
7,20,0.230473752,2.478392199,1.354432975
7,21,0.105633803,1.126063392,0.615848598
7,22,0.118661972,0.982303091,0.550482531
7,23,1.558626761,0.296531792,0.927579276
7,24,2.540492958,0.12975762,1.335125289
8,9,0.030709678,0.984954077,0.507831877
8,10,0.016860215,0.702826087,0.359843151
8,11,0.193440864,1.006554645,0.599997755
8,12,0.077677421,1.298059965,0.687868693
8,14,0.029003585,1.034420832,0.531712208
8,15,0.063225808,0.916184302,0.489705055
8,16,0.053440861,0.642250458,0.34784566
8,18,0.190821509,0.596091205,0.393456357
8,19,0.413452148,0.353277291,0.38336472
8,21,0.00958423,1.180201055,0.594892642
8,22,0.024387097,1.186440678,0.605413888
8,23,0.25741936,0.73256262,0.49499099
8,24,0.645669613,0.276689043,0.461179328
9,11,0.833001267,0.15411363,0.493557448
9,14,0.313132356,0.855073331,0.584102844
9,15,1.258191284,0.613525858,0.935858571
9,16,0.673733678,0.307912632,0.490823155
9,17,0.481965899,0.542035228,0.512000563
9,18,1.535427742,0.175171915,0.855299828
9,19,1.315320024,0.057003876,0.68616195
9,21,0.451533397,0.606833987,0.529183692
9,22,0.188571419,0.944167498,0.566369458
9,23,1.040629041,0.243864464,0.642246752
9,24,0.05449541,1.323018875,0.688757142
10,12,0.502173913,0.277248677,0.389711295
10,14,0.608695652,0.499610895,0.554153274
10,15,0.493206522,0.34643436,0.419820441
10,16,0.931304348,0.122967778,0.527136063
10,17,0.129347826,0.684370498,0.406859162
10,18,0.55173913,0.047774159,0.299756644
10,19,1.320964219,0.002967996,0.661966107
10,21,0.199565217,0.752513517,0.476039367
10,22,0.252391304,0.991026919,0.621709112
10,23,1.429130435,0.0238921,0.726511267
10,24,1.013478261,0.005936623,0.509707442
11,12,0.144481528,1.165432099,0.654956813
11,13,1.261805345,0.001922949,0.631864147
11,14,0.349163693,0.951511523,0.650337608
11,15,0.404548279,0.746391912,0.575470095
11,16,1.112507766,0.292765785,0.702636775
11,17,0.274514903,0.869484451,0.571999677
11,18,0.269698852,0.827090119,0.548394486
11,19,0.92949783,0.215568282,0.572533056
11,20,1.478527637,0.003593628,0.741060633
11,21,0.693511335,0.799680956,0.746596145
11,22,0.313043311,1.026919242,0.669981277
11,23,1.268740458,0.005512824,0.637126641
11,24,1.343678211,0.045690796,0.694684503
12,14,0.647619048,0.530380126,0.588999587
12,15,0.974955908,0.165575365,0.570265636
12,16,1.109700176,0.09437777,0.602038973
12,17,0.667372134,0.645791583,0.656581859
12,18,0.64973545,0.528845458,0.589290454
12,19,1.401058201,0.027193878,0.71412604
12,20,0.888042328,0.307291561,0.597666944
12,21,1.051902242,0.384087385,0.717994814
12,22,0.753439153,0.35892323,0.556181192
12,23,1.283950617,0.066589595,0.675270106
12,24,1.279717813,0.052952558,0.666335186
13,14,0.306843048,0.858425621,0.582634334
13,15,0.125323254,0.736481509,0.430902382
13,16,0.074000398,0.737806669,0.405903533
13,17,0.006498243,1.278653605,0.642575924
13,18,0.021483986,1.222149837,0.621816912
13,19,1.218104056,0.004773271,0.611438664
13,21,0.082355281,0.867894411,0.475124846
13,23,0.599761289,0.270520231,0.43514076
13,24,1.043465287,0.056864369,0.550164828
14,15,0.6692607,1.179902755,0.924581728
14,16,0.792577073,0.289486644,0.541031859
14,17,0.120813039,1.012364955,0.566588997
14,18,0.816581862,0.223669924,0.520125893
14,19,1.467824005,0.075592097,0.771708051
14,20,0.401704651,0.665023127,0.533363889
14,21,0.522598025,0.932521247,0.727559636
14,22,0.221490572,1.053506148,0.63749836
14,24,1.047889853,0.089685414,0.568787634
15,16,0.521069692,0.489949741,0.505509717
15,17,0.183468395,0.935295541,0.559381968
15,18,1.265570734,0.249728556,0.757649645
15,19,1.228062051,0.061134592,0.644598322
15,20,0.848460292,0.863076462,0.855768377
15,21,0.204213938,0.936581571,0.570397755
15,22,0.304700162,1.344300432,0.824500297
15,23,1.361426256,0.04238921,0.701907733
15,24,1.216774716,0.105905117,0.661339917
16,17,0.099459232,1.002613173,0.551036203
16,18,0.649423578,0.224393775,0.436908677
16,19,0.934335529,0.018202687,0.476269108
16,21,0.229027487,1.155839107,0.692433297
16,22,0.249009751,1.002991027,0.626000389
16,23,1.414129449,0.057803468,0.735966458
16,24,0.722435697,0.057723059,0.390079378
17,18,1.114625216,0.078537821,0.596581519
17,19,0.908387559,0.00798605,0.458186804
17,20,1.08442412,0.015343582,0.549883851
17,21,0.712600189,0.274977684,0.493788937
17,22,0.673510047,0.691924227,0.682717137
17,24,0.986193773,0.012721335,0.499457554
18,19,0.785016287,0.113594681,0.449305484
18,20,0.491856678,0.413792168,0.452824423
18,21,0.521172638,1.020881647,0.771027143
18,22,0.127397756,1.193918245,0.660658001
18,23,0.579080709,0.059961464,0.319521087
18,24,0.736528618,0.054465489,0.395497053
19,22,0.015067277,1.059322034,0.537194656
19,23,0.660914507,0.89017341,0.775543959
20,23,1.007138849,0.354527938,0.680833394
20,24,2.125893602,0.118308419,1.12210101
21,23,1.080046379,0.013256262,0.54665132
21,24,0.743490573,0.019930092,0.381710333
22,23,1.21884347,0.016030829,0.617437149
22,24,1.233798604,0.02258037,0.628189487
23,24,0.947976879,0.185095429,0.566536154
